text,original,label
"This study provided a content analysis of studies aiming to disclose how artificial intelligence (AI) has been applied to the education sector and explore the potential research trends and challenges of AI in education. A total of 100 papers including 63 empirical papers (74 studies) and 37 analytic papers were selected from the education and educational research category of Social Sciences Citation Index database from 2010 to 2020. The content analysis showed that the research questions could be classified into development layer (classification, matching, recommendation, and deep learning), application layer (feedback, reasoning, and adaptive learning), and integration layer (affection computing, role-playing, immersive learning, and gamification). Moreover, four research trends, including Internet of Things, swarm intelligence, deep learning, and neuroscience, as well as an assessment of AI in education, were suggested for further investigation. With the aid of AI, the combination of intelligent technology and on-site teaching solves the lack of individuation in the traditional mode and enhances students’ interest in learning. Potential e-commercial applications of such AI systems were proposed, benefiting physical and digital fashion businesses. The results provide insights into an overview of the AI used for education domain, which helps to strengthen the theoretical foundation of AI in education and provides a promising channel for educators and AI engineers to carry out further collaborative research.","This study provided a content analysis of studies aiming to disclose how artificial intelligence (AI) has been applied to the education sector and explore the potential research trends and challenges of AI in education. A total of 100 papers including 63 empirical papers (74 studies) and 37 analytic papers were selected from the education and educational research category of Social Sciences Citation Index database from 2010 to 2020. The content analysis showed that the research questions could be classified into development layer (classification, matching, recommendation, and deep learning), application layer (feedback, reasoning, and adaptive learning), and integration layer (affection computing, role-playing, immersive learning, and gamification). Moreover, four research trends, including Internet of Things, swarm intelligence, deep learning, and neuroscience, as well as an assessment of AI in education, were suggested for further investigation. However, we also proposed the challenges in education may be caused by AI with regard to inappropriate use of AI techniques, changing roles of teachers and students, as well as social and ethical issues. The results provide insights into an overview of the AI used for education domain, which helps to strengthen the theoretical foundation of AI in education and provides a promising channel for educators and AI engineers to carry out further collaborative research.",0
"Artificial intelligence (AI) is developing and its application is spreading at an alarming rate, and AI has become part of our daily lives. As a matter of fact, AI has changed the way people learn. This paper’s contributions are threefold: (1) the design of a comprehensive, on-site industrial OCR system for autonomous registration of iron plates; (2) the development of a realistic synthetic image generation strategy and a robust data augmentation strategy to address data scarcity; and (3) demonstrated impressive experimental results, indicating potential for on-site industrial applications. However, its adoption in the educational sector has been saddled with challenges and ethical issues. The fashion industry has shown increasing interest in applying artificial intelligence (AI), yet there is a significant gap in exploring the potential of emerging diffusion-modeling-based AI image-generation systems for fashion design and commerce. Our research comprised three stages: refining an initial idea into well-defined textual design concepts, facilitating concept development, and validating the preceding observations and reflections by creating a new line of hemp-based products that were evaluated by targeted consumers through an online survey. The purpose of this study is to analyze the opportunities, benefits, and challenges of AI in education. A review of available and relevant literature was done using the systematic review method to identify the current research focus and provide an in-depth understanding of AI technology in education for educators and future research directions. Findings showed that AI's adoption in education has advanced in the developed countries and most research became popular within the Industry 4.0 era. Other challenges, as well as recommendations, are discussed in the study.","Artificial intelligence (AI) is developing and its application is spreading at an alarming rate, and AI has become part of our daily lives. As a matter of fact, AI has changed the way people learn. However, its adoption in the educational sector has been saddled with challenges and ethical issues. The purpose of this study is to analyze the opportunities, benefits, and challenges of AI in education. A review of available and relevant literature was done using the systematic review method to identify the current research focus and provide an in-depth understanding of AI technology in education for educators and future research directions. Findings showed that AI's adoption in education has advanced in the developed countries and most research became popular within the Industry 4.0 era. Other challenges, as well as recommendations, are discussed in the study.",0
"As of 2021, more than 30 countries have released national artificial intelligence (AI) policy strategies. These documents articulate plans and expectations regarding how AI will impact policy sectors, including education, and typically discuss the social and ethical implications of AI. In this paper, we focus on the AI-based solutions applied in medical image scan segmentation and intelligent visual content generation, i.e., computer-generated three-dimensional (3D) images in the context of extended reality (XR). This article engages in thematic analysis of 24 such national AI policy strategies, reviewing the role of education in global AI policy discourse. The study was backed by the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) framework and furthermore utilized computational literature review as well as bibliometric analysis techniques for knowledge extraction purposes. In this paper, we focus on the AI-based solutions applied in medical image scan segmentation and intelligent visual content generation, i.e., computer-generated three-dimensional (3D) images in the context of extended reality (XR). This suggests that AIED and its broader policy and ethical implications—good or bad—have failed to reach mainstream awareness and the agendas of key decision-makers, a concern given that effective policy and careful consideration of ethics are inextricably linked, as this article argues. In light of these findings, the article applies a framework of five AI ethics principles to consider ways in which policymakers can better incorporate AIED’s implications. Potential e-commercial applications of such AI systems were proposed, benefiting physical and digital fashion businesses. Finally, the article offers recommendations for AIED scholars on strategies for engagement with the policymaking process, and for performing ethics and policy-oriented AIED research to that end, in order to shape policy deliberations on behalf of the public good.","As of 2021, more than 30 countries have released national artificial intelligence (AI) policy strategies. These documents articulate plans and expectations regarding how AI will impact policy sectors, including education, and typically discuss the social and ethical implications of AI. This article engages in thematic analysis of 24 such national AI policy strategies, reviewing the role of education in global AI policy discourse. It finds that the use of AI in education (AIED) is largely absent from policy conversations, while the instrumental value of education in supporting an AI-ready workforce and training more AI experts is overwhelmingly prioritized. Further, the ethical implications of AIED receive scant attention despite the prominence of AI ethics discussion generally in these documents. This suggests that AIED and its broader policy and ethical implications—good or bad—have failed to reach mainstream awareness and the agendas of key decision-makers, a concern given that effective policy and careful consideration of ethics are inextricably linked, as this article argues. In light of these findings, the article applies a framework of five AI ethics principles to consider ways in which policymakers can better incorporate AIED’s implications. Finally, the article offers recommendations for AIED scholars on strategies for engagement with the policymaking process, and for performing ethics and policy-oriented AIED research to that end, in order to shape policy deliberations on behalf of the public good.",0
"Initially, the system utilizes a text region detection network to identify the text area, enabling camera adjustments along the x and y axes and zoom enhancements for clearer text imagery. We consider different types of neural networks used with a special emphasis on the learning rules applied, taking into account algorithm accuracy and performance, as well as open data availability. The literature and information were obtained from various books and research articles on EBSCO, Google Scholar, Scopus, Web of Science, and ScienceDirect. Therefore, this study aims to assess the effectiveness of Midjourney, one such AI system, in both fashion design and related commerce applications. Five independent reviewers assessed search results, extracted data, and set the studies’ quality to summarise and report the findings. This paper’s contributions are threefold: (1) the design of a comprehensive, on-site industrial OCR system for autonomous registration of iron plates; (2) the development of a realistic synthetic image generation strategy and a robust data augmentation strategy to address data scarcity; and (3) demonstrated impressive experimental results, indicating potential for on-site industrial applications. Implementing artificial intelligence is a strategic and critical factor in educational development. We employed the action research approach with the Functional, Expressive, and Aesthetic (FEA) Consumer Needs Model as the theoretical framework. They assist teachers and students in various ways, including giving students access to a wide range of learning materials based on their specific learning needs and subjects. However, some risks are associated with artificial intelligence advancements, such as safety, security, and privacy concerns. In this paper, we focus on the AI-based solutions applied in medical image scan segmentation and intelligent visual content generation, i.e., computer-generated three-dimensional (3D) images in the context of extended reality (XR). As one of the products of the rapid development of information technology, Artificial Intelligence (AI) involves many interdisciplinary subjects, adding new elements to music education. Conclusion: Artificial intelligence technologies have positive and negative effects on education. Thus, it is critical to prioritise artificial intelligence in education and implement appropriate strategies to meet teachers' and students' needs and expectations through AI technologies. As a result, academic performance will be excellent. Recommendation & Implication: Qualitative research, such as interviews, or quantitative analysis, such as online questionnaires, may be developed in the future to provide more explanations and explicit findings. The implications could be applied to school administrators, teachers, and students to understand better and implement appropriate strategies to improve educational performance through AI.","Method: A narrative synthesis and a systematic literature review were conducted in this review article. The literature and information were obtained from various books and research articles on EBSCO, Google Scholar, Scopus, Web of Science, and ScienceDirect. The inclusion criteria were studies that clearly defined artificial intelligence in the education sector, were published and written in English and were peer-reviewed. Five independent reviewers assessed search results, extracted data, and set the studies’ quality to summarise and report the findings.

Result: Artificial intelligence has already entered the education sector. Implementing artificial intelligence is a strategic and critical factor in educational development. Furthermore, artificial intelligence is increasingly being used as a digital assistant. They assist teachers and students in various ways, including giving students access to a wide range of learning materials based on their specific learning needs and subjects. However, some risks are associated with artificial intelligence advancements, such as safety, security, and privacy concerns. As a result, artificial intelligence technologies positively and negatively affect the education sector.

Conclusion: Artificial intelligence technologies have positive and negative effects on education. Thus, it is critical to prioritise artificial intelligence in education and implement appropriate strategies to meet teachers' and students' needs and expectations through AI technologies. As a result, academic performance will be excellent.

Recommendation & Implication: Qualitative research, such as interviews, or quantitative analysis, such as online questionnaires, may be developed in the future to provide more explanations and explicit findings. The implications could be applied to school administrators, teachers, and students to understand better and implement appropriate strategies to improve educational performance through AI.",0
"Artificial Intelligence (AI) is reshaping the world in profound ways; some of its impacts are certainly beneficial but widespread and lasting harms can result from the technology as well. The integration of AI into various aspects of human life is underway, and the complex ethical concerns emerging from the design, deployment, and use of the technology serves as a reminder that it is time to revisit what future developers and designers, along with professionals, are learning when it comes to AI. Further, we hypothesized that AI may promote its use in the medical field. It is of paramount importance to train future members of the AI community, and other stakeholders as well, to reflect on the ways in which AI might impact people’s lives and to embrace their responsibilities to enhance its benefits while mitigating its potential harms. Through experimental verification, the intelligent assistant system can monitor students’ movements in real time, accurately evaluate their technical level, and provide personalized guidance. This could occur in part through the fuller and more systematic inclusion of AI ethics into the curriculum. In this paper, we briefly describe different approaches to AI ethics and offer a set of recommendations related to AI ethics pedagogy.","Artificial Intelligence (AI) is reshaping the world in profound ways; some of its impacts are certainly beneficial but widespread and lasting harms can result from the technology as well. The integration of AI into various aspects of human life is underway, and the complex ethical concerns emerging from the design, deployment, and use of the technology serves as a reminder that it is time to revisit what future developers and designers, along with professionals, are learning when it comes to AI. It is of paramount importance to train future members of the AI community, and other stakeholders as well, to reflect on the ways in which AI might impact people’s lives and to embrace their responsibilities to enhance its benefits while mitigating its potential harms. This could occur in part through the fuller and more systematic inclusion of AI ethics into the curriculum. In this paper, we briefly describe different approaches to AI ethics and offer a set of recommendations related to AI ethics pedagogy.",0
"As addressed by Stephen Yang in his ICCE 2019 keynote speech (Yang, 2019), precision
education is a new challenge when applying artificial intelligence (AI), machine learning, and learning analytics
to improve teaching quality and learning performance. The goal of precision education is to identify at-risk
students as early as possible and provide timely intervention on the basis of teaching and learning experiences
(Lu et al., 2018). Additionally, the article will also evaluate the role of ChatGPT in scientifc research
and publications. This study presented the development of an AI Taekwondo performance improvement analysis and evaluation system and a metaverse-based virtual Taekwondo pumsae/fighting coaching platform through an AI-based motion tracking analysis method. Drawing from this main theme of precision education, this special issue advocates an in-depth
dialogue between cold technology and warm humanity, in turn offering greater understanding of precision
education. For this special issue, thirteen research papers that specialize in precision education, AI, machine
learning, and learning analytics to engage in an in-depth research experiences concerning various applications,
methods, pedagogical models, and environments were exchanged to achieve better understanding of the
application of AI in education","As addressed by Stephen Yang in his ICCE 2019 keynote speech (Yang, 2019), precision
education is a new challenge when applying artificial intelligence (AI), machine learning, and learning analytics
to improve teaching quality and learning performance. The goal of precision education is to identify at-risk
students as early as possible and provide timely intervention on the basis of teaching and learning experiences
(Lu et al., 2018). Drawing from this main theme of precision education, this special issue advocates an in-depth
dialogue between cold technology and warm humanity, in turn offering greater understanding of precision
education. For this special issue, thirteen research papers that specialize in precision education, AI, machine
learning, and learning analytics to engage in an in-depth research experiences concerning various applications,
methods, pedagogical models, and environments were exchanged to achieve better understanding of the
application of AI in education",0
"With the increasing use of Artificial Intelligence (AI) technologies in education, the number of published studies in the field has increased. The study was backed by the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) framework and furthermore utilized computational literature review as well as bibliometric analysis techniques for knowledge extraction purposes. However, no large-scale reviews have been conducted to comprehensively investigate the various aspects of this field. Based on 4,519 publications from 2000 to 2019, we attempt to fill this gap and identify trends and topics related to AI applications in education (AIEd) using topicbased bibliometrics. Results of the review reveal an increasing interest in using AI for educational purposes from the academic community. This study presented the development of an AI Taekwondo performance improvement analysis and evaluation system and a metaverse-based virtual Taekwondo pumsae/fighting coaching platform through an AI-based motion tracking analysis method. Midjourney shows promise in streamlining the fashion design process by enhancing ideation and optimizing design details. We also discuss the challenges and future directions of AIEd.","With the increasing use of Artificial Intelligence (AI) technologies in education, the number of published studies in the field has increased. However, no large-scale reviews have been conducted to comprehensively investigate the various aspects of this field. Based on 4,519 publications from 2000 to 2019, we attempt to fill this gap and identify trends and topics related to AI applications in education (AIEd) using topicbased bibliometrics. Results of the review reveal an increasing interest in using AI for educational purposes from the academic community. The main research topics include intelligent tutoring systems for special education; natural language processing for language education; educational robots for AI education; educational data mining for performance prediction; discourse analysis in computer-supported collaborative learning; neural networks for teaching evaluation; affective computing for learner emotion detection; and recommender systems for personalized learning. We also discuss the challenges and future directions of AIEd.",0
"With the aid of AI, the combination of intelligent technology and on-site teaching solves the lack of individuation in the traditional mode and enhances students’ interest in learning. Our research comprised three stages: refining an initial idea into well-defined textual design concepts, facilitating concept development, and validating the preceding observations and reflections by creating a new line of hemp-based products that were evaluated by targeted consumers through an online survey. These include: (1) taking care to focus on issues relating to 'actually existing' AI rather than the overselling of speculative AI technologies; (2) clearly foregrounding the limitations of AI in terms of modelling social contexts, and simulating human intelligence, reckoning, autonomy and emotions; (3) foregrounding the social harms associated with AI use; (4) acknowledging the value-driven nature of claims around AI; and (5) paying closer attention to the environmental and ecological sustainability of continued AI development and implementation. Thus, in contrast to popular notions of AI as a neutral tool, the argument is made for engaging with the ongoing use of AI in education as a political action that has varying impacts on different groups of people in various educational contexts.","In light of fast-growing popular, political and professional discourses around AI in education, this article outlines five broad areas of contention that merit closer attention in future discussion and decision-making. These include: (1) taking care to focus on issues relating to 'actually existing' AI rather than the overselling of speculative AI technologies; (2) clearly foregrounding the limitations of AI in terms of modelling social contexts, and simulating human intelligence, reckoning, autonomy and emotions; (3) foregrounding the social harms associated with AI use; (4) acknowledging the value-driven nature of claims around AI; and (5) paying closer attention to the environmental and ecological sustainability of continued AI development and implementation. Thus, in contrast to popular notions of AI as a neutral tool, the argument is made for engaging with the ongoing use of AI in education as a political action that has varying impacts on different groups of people in various educational contexts.",0
"Engineering education is constantly evolving to keep up with the latest technological developments and meet the changing needs of the engineering industry. One promising development in this field is the use of generative artificial intelligence technology, such as the ChatGPT conversational agent. With the aid of using the system, the volleyball technique level of students has been improved, and the teaching effect has been significantly enhanced. ChatGPT has the potential to offer personalized and effective learning experiences by providing students with customized feedback and explanations, as well as creating realistic virtual simulations for hands-on learning. However, it is important to also consider the limitations of this technology. ChatGPT and other generative AI systems are only as good as their training data and may perpetuate biases or even generate and spread misinformation. Thus, the precise segmentation of organs and their lesions may contribute to an efficient diagnostics process and a more effective selection of targeted therapies, as well as increasing the effectiveness of the training process. Additionally, the use of generative AI in education raises ethical concerns such as the potential for unethical or dishonest use by students and the potential unemployment of humans who are made redundant by technology. While the current state of generative AI technology represented by ChatGPT is impressive but flawed, it is only a preview of what is to come. It is important for engineering educators to understand the implications of this technology and study how to adapt the engineering education ecosystem to ensure that the next generation of engineers can take advantage of the benefits offered by generative AI while minimizing any negative consequences.","Engineering education is constantly evolving to keep up with the latest technological developments and meet the changing needs of the engineering industry. One promising development in this field is the use of generative artificial intelligence technology, such as the ChatGPT conversational agent. ChatGPT has the potential to offer personalized and effective learning experiences by providing students with customized feedback and explanations, as well as creating realistic virtual simulations for hands-on learning. However, it is important to also consider the limitations of this technology. ChatGPT and other generative AI systems are only as good as their training data and may perpetuate biases or even generate and spread misinformation. Additionally, the use of generative AI in education raises ethical concerns such as the potential for unethical or dishonest use by students and the potential unemployment of humans who are made redundant by technology. While the current state of generative AI technology represented by ChatGPT is impressive but flawed, it is only a preview of what is to come. It is important for engineering educators to understand the implications of this technology and study how to adapt the engineering education ecosystem to ensure that the next generation of engineers can take advantage of the benefits offered by generative AI while minimizing any negative consequences.",0
"The experiment used piano sound as an example to verify the accuracy and reliability of the system. With the aid of AI, the combination of intelligent technology and on-site teaching solves the lack of individuation in the traditional mode and enhances students’ interest in learning. Artificial intelligence (AI) is rapidly transforming various industries, including education. AI is being used in educational management
to enhance the learning process, improve student outcomes, and streamline administrative tasks. This research work aims to explore the
application of AI in educational management, including its benefits and challenges. Recently, artificial intelligence (AI)-based algorithms have revolutionized the medical image segmentation processes. The study finds that AI has several advantages, including
improving student engagement, personalization of learning, and cost-effectiveness. However, AI also poses several challenges, such as
ethical concerns, potential biases, and the need for re-skilling the workforce. The research concludes that AI has an enormous capacity
to improve educational management, but it must be deployed with care and caution.","Artificial intelligence (AI) is rapidly transforming various industries, including education. AI is being used in educational management
to enhance the learning process, improve student outcomes, and streamline administrative tasks. This research work aims to explore the
application of AI in educational management, including its benefits and challenges. The research work employs a systematic review
methodology, examining the literature on AI in educational management. The study finds that AI has several advantages, including
improving student engagement, personalization of learning, and cost-effectiveness. However, AI also poses several challenges, such as
ethical concerns, potential biases, and the need for re-skilling the workforce. The research concludes that AI has an enormous capacity
to improve educational management, but it must be deployed with care and caution.",0
